time;T_C;W_raw_kg
2026-08-10T09:57:22Z;31.0;22.01
2026-08-10T10:01:39Z;31.5;21.98
2026-08-10T10:05:55Z;31.5;21.98
2026-08-10T10:10:12Z;31.5;21.97
2026-08-10T10:14:28Z;32.0;21.97
2026-08-10T10:18:44Z;32.0;21.98
2026-08-10T10:23:01Z;32.0;21.98
2026-08-10T10:27:17Z;32.5;21.97
2026-08-10T10:31:34Z;32.5;21.99
2026-08-10T10:35:50Z;32.5;21.95
2026-08-10T10:40:07Z;33.0;21.96
2026-08-10T10:44:23Z;32.5;21.95
2026-08-10T10:48:40Z;33.0;21.95
2026-08-10T10:52:56Z;33.5;21.96
2026-08-10T10:57:13Z;33.5;21.93
2026-08-10T11:01:29Z;34.0;21.92
2026-08-10T11:05:45Z;34.0;21.91
2026-08-10T11:10:03Z;33.5;21.88
2026-08-10T11:14:19Z;34.0;21.91
2026-08-10T11:18:35Z;34.0;21.91
2026-08-10T11:22:51Z;34.5;21.91
2026-08-10T11:27:08Z;34.5;21.9
2026-08-10T11:31:25Z;35.0;21.9
2026-08-10T11:35:41Z;35.0;21.91
2026-08-10T11:39:57Z;35.0;21.89
2026-08-10T11:44:14Z;35.0;21.91
2026-08-10T11:48:30Z;35.5;21.9
2026-08-10T11:52:47Z;35.0;21.89
2026-08-10T11:57:03Z;34.5;21.9
2026-08-10T12:01:20Z;35.5;21.89
2026-08-10T12:05:36Z;35.5;21.88
2026-08-10T12:09:52Z;35.5;21.89
2026-08-10T12:14:09Z;35.5;21.88
2026-08-10T12:18:25Z;36.0;21.89
2026-08-10T12:22:42Z;35.5;21.89
2026-08-10T12:26:58Z;36.0;21.87
2026-08-10T12:31:15Z;35.0;21.88
2026-08-10T12:35:31Z;36.0;21.87
2026-08-10T12:39:47Z;36.0;21.89
2026-08-10T12:44:04Z;36.0;21.87
2026-08-10T12:48:20Z;36.5;21.87
2026-08-10T12:52:37Z;36.5;21.86
2026-08-10T12:56:53Z;37.0;21.86
2026-08-10T13:01:10Z;37.0;21.86
2026-08-10T13:05:26Z;37.0;21.84
2026-08-10T13:09:43Z;36.5;21.86
2026-08-10T13:13:59Z;37.0;21.87
2026-08-10T13:18:15Z;37.0;21.86
2026-08-10T13:22:32Z;37.5;21.86
2026-08-10T13:26:48Z;37.5;21.86
2026-08-10T13:31:05Z;37.5;21.86
2026-08-10T13:35:21Z;37.5;21.85
2026-08-10T13:39:38Z;37.0;21.86
2026-08-10T13:43:54Z;37.5;21.85
2026-08-10T13:48:10Z;37.5;21.8
2026-08-10T13:52:27Z;37.5;21.84
2026-08-10T13:56:43Z;37.5;21.84
2026-08-10T14:01:00Z;37.5;21.85
