Timestamp(ms),Current(uA)
1350930,10870.308
1350940,10861.468
1350950,10933.224
1350960,11040.708
1350970,11006.429
1350980,10933.709
1350990,10918.723
1351000,10853.284
1351010,10917.725
1351020,10958.960
1351030,10913.165
1351040,11018.804
1351050,10947.070
1351060,11003.451
1351070,11002.256
1351080,10974.597
1351090,10965.655
1351100,10901.948
1351110,10944.071
1351120,10895.363
1351130,10889.911
1351140,10882.882
1351150,10933.162
1351160,10900.749
1351170,10858.153
1351180,10919.193
1351190,10938.725
1351200,10849.828
1351210,10878.594
1351220,10931.899
1351230,10885.020
1351240,10933.586
1351250,10905.657
1351260,11010.474
1351270,10935.672
1351280,11070.112
1351290,10920.899
1351300,10979.646
1351310,10952.022
1351320,10938.987
1351330,10926.431
1351340,10949.952
1351350,10949.781
1351360,10982.049
1351370,10966.108
1351380,10933.318
1351390,10976.334
1351400,10952.272
1351410,10954.951
1351420,10900.973
1351430,10913.063
1351440,10927.887
1351450,10937.212
1351460,10917.867
1351470,10903.373
1351480,10943.494
1351490,10935.065
1351500,10984.396
1351510,10957.240
1351520,10917.648
1351530,10876.472
1351540,10953.478
1351550,10880.044
1351560,10873.039
1351570,10987.178
1351580,11034.416
1351590,10928.712
1351600,10919.190
1351610,10984.864
1351620,10987.392
1351630,10960.604
1351640,10947.650
1351650,10944.824
1351660,10893.075
1351670,10952.417
1351680,10955.793
1351690,10885.728
1351700,10934.012
1351710,10930.933
1351720,10963.890
1351730,10975.849
1351740,10998.950
1351750,10961.786
1351760,10890.666
1351770,10896.645
1351780,10906.981
1351790,10986.767
1351800,10969.684
1351810,10982.958
1351820,10935.800
1351830,11022.917
1351840,10984.767
1351850,10975.620
1351860,10932.130
1351870,10963.143
1351880,10951.469
1351890,10909.823
1351900,10902.614
1351910,10939.126
1351920,10965.879
1351930,10929.185
1351940,10894.040
1351950,10955.742
1351960,10918.893
1351970,10888.202
1351980,10864.907
1351990,10867.079
1352000,10843.604
1352010,10920.858
1352020,10867.107
1352030,10853.922
1352040,10892.622
1352050,10868.012
1352060,10902.097
1352070,10827.846
1352080,10839.330
1352090,10823.890
1352100,10859.008
1352110,10888.577
1352120,10942.781
1352130,10903.408
1352140,10889.465
1352150,10893.144
1352160,10885.650
1352170,10880.785
1352180,10854.612
1352190,10922.974
1352200,10890.716
