Timestamp(ms),Current(uA)
60330,8757.862
60340,8812.972
60350,8834.748
60360,8757.477
60370,8881.630
60380,8736.924
60390,8888.792
60400,8800.211
60410,8764.184
60420,8740.314
60430,8620.242
60440,8733.780
60450,8647.849
60460,8681.731
60470,8814.024
60480,8721.958
60490,8906.508
60500,8697.016
60510,8938.064
60520,9013.034
60530,8912.350
60540,8894.362
60550,8890.193
60560,8882.803
60570,8685.798
60580,8819.191
60590,8740.472
60600,8761.328
60610,8593.260
60620,8717.729
60630,8725.893
60640,8804.243
60650,8817.919
60660,8790.590
60670,8750.201
60680,8717.092
60690,8718.961
60700,8763.138
60710,8880.021
60720,8787.278
60730,8650.701
60740,8589.908
60750,8560.235
60760,8616.955
60770,8521.378
60780,8561.847
60790,8647.001
60800,8799.725
60810,8862.563
60820,8839.012
60830,8894.227
60840,8944.606
60850,8945.068
60860,8588.675
60870,8879.016
60880,8692.071
60890,8804.791
60900,8734.233
60910,8759.263
60920,8635.256
60930,8617.795
60940,9019.834
60950,8980.400
60960,8805.535
60970,8822.790
60980,8621.268
60990,8572.311
61000,8753.375
61010,8629.313
61020,8843.874
61030,8622.947
61040,9070.730
61050,8948.634
61060,8870.795
61070,8744.883
61080,8694.178
61090,8535.418
61100,8634.316
61110,8736.444
61120,8841.299
61130,8730.273
61140,9009.649
61150,8918.749
61160,8771.454
61170,8749.732
61180,8661.810
61190,8675.053
61200,8646.523
61210,8685.687
61220,8805.351
61230,8809.939
61240,8822.132
61250,8490.927
61260,8505.489
61270,8468.941
61280,8758.454
61290,8878.670
61300,8837.352
61310,8966.239
61320,8668.409
61330,8688.345
61340,9082.653
61350,8931.146
61360,8868.173
61370,8505.349
61380,8802.648
61390,8606.006
61400,8690.758
61410,8675.013
61420,8643.824
61430,8585.653
61440,8579.443
61450,8715.087
61460,8566.975
61470,8753.682
61480,9007.129
61490,8660.346
61500,9009.134
61510,8976.728
61520,8738.818
61530,9039.183
61540,8929.622
61550,9126.049
61560,8897.742
61570,8973.340
61580,9034.168
61590,8855.657
61600,8853.506
61610,8892.888
61620,8705.841
61630,8775.371
61640,8450.489
61650,8621.128
61660,8576.333
61670,8668.328
61680,8632.730
61690,8899.067
61700,8714.306
61710,8691.147
61720,8716.396
61730,8914.040
61740,8966.956
61750,8625.683
61760,8946.531
61770,8904.171
61780,8582.949
61790,8673.146
61800,8688.577
61810,8652.973
61820,8690.704
61830,8630.828
61840,8572.977
61850,8609.660
61860,8910.490
61870,8648.310
61880,8786.563
61890,8752.191
61900,8739.397
61910,8772.228
